年度,リーグ,ステージ,順位,選手名,チーム名,試合数,ポイント,平均スコア,平均順位,最高得点,最高得点順位,最低得点,トップ数,2着数,3着数,4着数,トップ率,トップ率順位,ラス回避率,ラス回避率順位,最多勝利順位,ポイント賞順位,ラス回避率賞順位,最多勝利賞順位,最高得点賞順位,トップ率賞順位,選手ID
2026,Aリーグ,レギュラー,59,Blush,enjoyすればイイ雀！,8,-45.6,-5.7,2.63,"38,100点",80,"11,100点",2,1,3,2,25.0%,46,75.0%,49,46,55,48,45,74.00,44,P0019
2026,Aリーグ,レギュラー,60,ご飯にバター,ＺＯＯ,14,-46.8,-3.3,2.57,"57,800点",23,"-2,800点",3,4,3,4,21.4%,61,71.4%,56,32,56,55,32,21.00,59,P0106
2026,Aリーグ,レギュラー,61,Bu Ki Chi,ＺＯＯ,8,-47.9,-6,2.75,"65,400点",9,"-5,300点",2,2,0,4,25.0%,47,50.0%,88,47,57,82,46,8.00,45,P0020
2026,Aリーグ,レギュラー,62,ブロッケンG,enjoyすればイイ雀！,8,-50.7,-6.3,2.75,"38,800点",76,300点,2,0,4,2,25.0%,48,75.0%,50,48,58,49,47,71.00,46,P0170
2026,Aリーグ,レギュラー,63,まぽぽ,たちこまーず,7,-51.8,-7.4,2.71,"39,900点",72,"4,600点",2,0,3,2,28.6%,35,71.4%,61,37,59,60,36,67.00,33,P0188
2026,Aリーグ,レギュラー,64,ななね,MJ東京,2,-52.3,-26.2,3.00,"28,700点",96,"-1,000点",0,1,0,1,0.0%,99,50.0%,91,87,,,,,,P0152
2026,Aリーグ,レギュラー,65,カルア,HIVE,9,-54,-6,2.67,"41,600点",64,"7,200点",2,2,2,3,22.2%,57,66.7%,71,57,60,70,56,61.00,55,P0093
2026,Aリーグ,レギュラー,66,レッド総帥,レッドリボン軍,8,-54.9,-6.9,2.63,"41,900点",62,"8,200点",2,1,3,2,25.0%,49,75.0%,51,49,61,50,48,59.00,47,P0221
2026,Aリーグ,レギュラー,67,キラ、,MJ東京,9,-56.8,-6.3,2.67,"42,900点",59,"11,100点",0,5,2,2,0.0%,87,77.8%,42,99,62,41,85,57.00,78,P0096
2026,Aリーグ,レギュラー,68,じゅねこ,enjoyすればイイ雀！,9,-57.9,-6.4,2.67,"42,900点",59,"5,000点",2,1,4,2,22.2%,58,77.8%,43,58,63,42,57,58.00,56,P0116
